Namespace(exp_name='pointnet_200', model='pointnet', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=200, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 80, loss: 1.797954, test acc: 0.166667, test avg acc: 0.166667
Train 81, loss: 1.811228, train acc: 0.168552, train avg acc: 0.168552
Test 81, loss: 1.799711, test acc: 0.166667, test avg acc: 0.166667
Train 82, loss: 1.809713, train acc: 0.169246, train avg acc: 0.169246
Test 82, loss: 1.804981, test acc: 0.166667, test avg acc: 0.166667
Train 83, loss: 1.809821, train acc: 0.161111, train avg acc: 0.161111
Test 83, loss: 1.796449, test acc: 0.166667, test avg acc: 0.166667
Train 84, loss: 1.807985, train acc: 0.164187, train avg acc: 0.164187
Test 84, loss: 1.803172, test acc: 0.166667, test avg acc: 0.166667
Train 85, loss: 1.810309, train acc: 0.163690, train avg acc: 0.163690
Test 85, loss: 1.815813, test acc: 0.166667, test avg acc: 0.166667
Train 86, loss: 1.808929, train acc: 0.167758, train avg acc: 0.167758
Test 86, loss: 1.801340, test acc: 0.166667, test avg acc: 0.166667
Train 87, loss: 1.809771, train acc: 0.166369, train avg acc: 0.166369
Test 87, loss: 1.815577, test acc: 0.166667, test avg acc: 0.166667
Train 88, loss: 1.809232, train acc: 0.159821, train avg acc: 0.159821
Test 88, loss: 1.816098, test acc: 0.166667, test avg acc: 0.166667
Train 89, loss: 1.807164, train acc: 0.170238, train avg acc: 0.170238
Test 89, loss: 1.804884, test acc: 0.166667, test avg acc: 0.166667
Train 90, loss: 1.809314, train acc: 0.170139, train avg acc: 0.170139
Test 90, loss: 1.810166, test acc: 0.166667, test avg acc: 0.166667
Train 91, loss: 1.808370, train acc: 0.166964, train avg acc: 0.166964
Test 91, loss: 1.807252, test acc: 0.166667, test avg acc: 0.166667
Train 92, loss: 1.809473, train acc: 0.168155, train avg acc: 0.168155
Test 92, loss: 1.812189, test acc: 0.166667, test avg acc: 0.166667
Train 93, loss: 1.807921, train acc: 0.169048, train avg acc: 0.169048
Test 93, loss: 1.810761, test acc: 0.166667, test avg acc: 0.166667
Train 94, loss: 1.809263, train acc: 0.160417, train avg acc: 0.160417
Test 94, loss: 1.800456, test acc: 0.166667, test avg acc: 0.166667
Train 95, loss: 1.808913, train acc: 0.165476, train avg acc: 0.165476
Test 95, loss: 1.806875, test acc: 0.166667, test avg acc: 0.166667
Train 96, loss: 1.806937, train acc: 0.171329, train avg acc: 0.171329
Test 96, loss: 1.814875, test acc: 0.166667, test avg acc: 0.166667
Train 97, loss: 1.808987, train acc: 0.165079, train avg acc: 0.165079
Test 97, loss: 1.793513, test acc: 0.166667, test avg acc: 0.166667
Train 98, loss: 1.809529, train acc: 0.162202, train avg acc: 0.162202
Test 98, loss: 1.806370, test acc: 0.166667, test avg acc: 0.166667
Train 99, loss: 1.808927, train acc: 0.157639, train avg acc: 0.157639
Test 99, loss: 1.797347, test acc: 0.166667, test avg acc: 0.166667
Train 100, loss: 1.807330, train acc: 0.168056, train avg acc: 0.168056
Test 100, loss: 1.828856, test acc: 0.166667, test avg acc: 0.166667
Train 101, loss: 1.806806, train acc: 0.177083, train avg acc: 0.177083
Test 101, loss: 1.802230, test acc: 0.166667, test avg acc: 0.166667
Train 102, loss: 1.807946, train acc: 0.166270, train avg acc: 0.166270
Test 102, loss: 1.821750, test acc: 0.166667, test avg acc: 0.166667
Train 103, loss: 1.806382, train acc: 0.167659, train avg acc: 0.167659
Test 103, loss: 1.801459, test acc: 0.166667, test avg acc: 0.166667
Train 104, loss: 1.808588, train acc: 0.166369, train avg acc: 0.166369
Test 104, loss: 1.804866, test acc: 0.166667, test avg acc: 0.166667
Train 105, loss: 1.807421, train acc: 0.168750, train avg acc: 0.168750
Test 105, loss: 1.795466, test acc: 0.166667, test avg acc: 0.166667
Train 106, loss: 1.807225, train acc: 0.164187, train avg acc: 0.164187
Test 106, loss: 1.797285, test acc: 0.166667, test avg acc: 0.166667
Train 107, loss: 1.806812, train acc: 0.170238, train avg acc: 0.170238
Test 107, loss: 1.821983, test acc: 0.166667, test avg acc: 0.166667
Train 108, loss: 1.806385, train acc: 0.164881, train avg acc: 0.164881
Test 108, loss: 1.808018, test acc: 0.166667, test avg acc: 0.166667
Train 109, loss: 1.805892, train acc: 0.166865, train avg acc: 0.166865
Test 109, loss: 1.806895, test acc: 0.166667, test avg acc: 0.166667
Train 110, loss: 1.806217, train acc: 0.170833, train avg acc: 0.170833
Test 110, loss: 1.797532, test acc: 0.166667, test avg acc: 0.166667
Train 111, loss: 1.805962, train acc: 0.166667, train avg acc: 0.166667
Test 111, loss: 1.804404, test acc: 0.166667, test avg acc: 0.166667
Train 112, loss: 1.807003, train acc: 0.165079, train avg acc: 0.165079
Test 112, loss: 1.810225, test acc: 0.166667, test avg acc: 0.166667
Train 113, loss: 1.807828, train acc: 0.160615, train avg acc: 0.160615
Test 113, loss: 1.797282, test acc: 0.166667, test avg acc: 0.166667
Train 114, loss: 1.805651, train acc: 0.170337, train avg acc: 0.170337
Test 114, loss: 1.804889, test acc: 0.166667, test avg acc: 0.166667
Train 115, loss: 1.804557, train acc: 0.169841, train avg acc: 0.169841
Test 115, loss: 1.817080, test acc: 0.166667, test avg acc: 0.166667
Train 116, loss: 1.806263, train acc: 0.159028, train avg acc: 0.159028
Test 116, loss: 1.793514, test acc: 0.166667, test avg acc: 0.166667
Train 117, loss: 1.804101, train acc: 0.168552, train avg acc: 0.168552
Test 117, loss: 1.807227, test acc: 0.166667, test avg acc: 0.166667
Train 118, loss: 1.804066, train acc: 0.170933, train avg acc: 0.170933
Test 118, loss: 1.797127, test acc: 0.166667, test avg acc: 0.166667
Train 119, loss: 1.803122, train acc: 0.170437, train avg acc: 0.170437
Test 119, loss: 1.793995, test acc: 0.166667, test avg acc: 0.166667
Train 120, loss: 1.806282, train acc: 0.167460, train avg acc: 0.167460
Test 120, loss: 1.800333, test acc: 0.166667, test avg acc: 0.166667
Train 121, loss: 1.804750, train acc: 0.166667, train avg acc: 0.166667
Test 121, loss: 1.806184, test acc: 0.166667, test avg acc: 0.166667
Train 122, loss: 1.804177, train acc: 0.168651, train avg acc: 0.168651
Test 122, loss: 1.820449, test acc: 0.166667, test avg acc: 0.166667
Train 123, loss: 1.804493, train acc: 0.161905, train avg acc: 0.161905
Test 123, loss: 1.793053, test acc: 0.166667, test avg acc: 0.166667
Train 124, loss: 1.803503, train acc: 0.165278, train avg acc: 0.165278
Test 124, loss: 1.795603, test acc: 0.166667, test avg acc: 0.166667
Train 125, loss: 1.802821, train acc: 0.165377, train avg acc: 0.165377
Test 125, loss: 1.796135, test acc: 0.166667, test avg acc: 0.166667
Train 126, loss: 1.802467, train acc: 0.174306, train avg acc: 0.174306
Test 126, loss: 1.806965, test acc: 0.166667, test avg acc: 0.166667
Train 127, loss: 1.803479, train acc: 0.162996, train avg acc: 0.162996
Test 127, loss: 1.807256, test acc: 0.166667, test avg acc: 0.166667
Train 128, loss: 1.804008, train acc: 0.159524, train avg acc: 0.159524
Test 128, loss: 1.806921, test acc: 0.166667, test avg acc: 0.166667
Train 129, loss: 1.803542, train acc: 0.167659, train avg acc: 0.167659
Test 129, loss: 1.796914, test acc: 0.166667, test avg acc: 0.166667
Train 130, loss: 1.803043, train acc: 0.167163, train avg acc: 0.167163
Test 130, loss: 1.801508, test acc: 0.166667, test avg acc: 0.166667
Train 131, loss: 1.802990, train acc: 0.168948, train avg acc: 0.168948
Test 131, loss: 1.800215, test acc: 0.166667, test avg acc: 0.166667
Train 132, loss: 1.802424, train acc: 0.167956, train avg acc: 0.167956
Test 132, loss: 1.798366, test acc: 0.166667, test avg acc: 0.166667
Train 133, loss: 1.802871, train acc: 0.170040, train avg acc: 0.170040
