Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=5, test_batch_size=2, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using GPU : 0 from 1 devices
Test 175, loss: 1.215144, test acc: 0.759760, test avg acc: 0.759760
Train 176, loss: 1.008020, train acc: 0.930697, train avg acc: 0.930680
Test 176, loss: 1.110710, test acc: 0.902402, test avg acc: 0.902402
Train 177, loss: 1.009459, train acc: 0.930697, train avg acc: 0.930676
Test 177, loss: 1.104741, test acc: 0.858859, test avg acc: 0.858859
Train 178, loss: 0.999656, train acc: 0.934840, train avg acc: 0.934862
Test 178, loss: 1.195198, test acc: 0.813814, test avg acc: 0.813814
Train 179, loss: 0.992379, train acc: 0.939360, train avg acc: 0.939334
Test 179, loss: 1.177641, test acc: 0.782282, test avg acc: 0.782282
Train 180, loss: 0.993856, train acc: 0.945386, train avg acc: 0.945379
Test 180, loss: 1.138369, test acc: 0.839339, test avg acc: 0.839339
Train 181, loss: 0.988160, train acc: 0.940490, train avg acc: 0.940476
Test 181, loss: 1.038884, test acc: 0.927928, test avg acc: 0.927928
Train 182, loss: 0.982955, train acc: 0.945386, train avg acc: 0.945395
Test 182, loss: 1.075649, test acc: 0.887387, test avg acc: 0.887387
Train 183, loss: 0.987125, train acc: 0.942373, train avg acc: 0.942368
Test 183, loss: 1.143978, test acc: 0.879880, test avg acc: 0.879880
Train 184, loss: 0.985084, train acc: 0.943879, train avg acc: 0.943882
Test 184, loss: 1.119277, test acc: 0.894895, test avg acc: 0.894895
Train 185, loss: 0.982483, train acc: 0.944256, train avg acc: 0.944241
Test 185, loss: 1.011458, test acc: 0.960961, test avg acc: 0.960961
